59,12,1
59,13,1
61,6,1
62,1,1
63,2,1
63,4,1
63,6,1
64,7,1
64,10,1
88,5,1
162,6,1
162,7,1
162,14,1
212,4,1
213,1,1
219,3,1
345,1,1
348,4,1
351,5,1
351,8,1
909,2,1
909,10,1
921,6,1
921,8,1
58,8,2
59,8,2
60,9,2
61,2,2
62,2,2
63,10,2
64,2,2
88,1,2
89,3,2
162,11,2
163,8,2
212,3,2
213,3,2
214,6,2
219,11,2
221,2,2
292,3,2
294,3,2
345,2,2
348,5,2
351,3,2
909,3,2
918,4,2
918,7,2
921,3,2
58,6,3
59,6,3
60,5,3
61,3,3
62,3,3
62,5,3
63,14,3
64,8,3
88,4,3
162,4,3
162,10,3
163,5,3
212,5,3
212,14,3
213,6,3
214,3,3
219,4,3
221,1,3
221,10,3
292,7,3
294,5,3
345,3,3
345,8,3
345,10,3
348,8,3
351,9,3
351,15,3
909,4,3
909,9,3
909,11,3
918,9,3
921,12,3
58,1,4
59,9,4
60,7,4
61,5,4
62,12,4
62,14,4
63,11,4
64,1,4
64,12,4
88,3,4
89,1,4
162,9,4
163,3,4
212,8,4
213,10,4
214,2,4
219,7,4
219,9,4
221,7,4
292,8,4
345,11,4
348,6,4
351,10,4
351,16,4
351,19,4
909,6,4
909,15,4
918,1,4
921,2,4
58,3,5
59,2,5
60,3,5
61,9,5
62,8,5
63,3,5
63,12,5
64,13,5
88,8,5
89,7,5
162,3,5
163,1,5
212,7,5
213,13,5
214,1,5
219,1,5
219,10,5
221,5,5
292,4,5
294,9,5
345,9,5
348,2,5
351,2,5
909,13,5
918,6,5
921,9,5
58,9,6
59,10,6
60,4,6
61,1,6
62,10,6
63,15,6
64,9,6
88,7,6
89,2,6
162,1,6
163,4,6
212,9,6
212,10,6
213,4,6
214,9,6
221,6,6
292,5,6
294,1,6
345,5,6
348,1,6
348,7,6
351,11,6
351,13,6
909,8,6
918,2,6
921,1,6
58,7,7
59,3,7
59,5,7
60,6,7
61,10,7
62,6,7
63,1,7
63,8,7
63,16,7
64,3,7
88,9,7
89,4,7
162,8,7
162,12,7
163,7,7
212,1,7
212,12,7
212,13,7
213,5,7
213,8,7
214,7,7
219,2,7
221,4,7
221,8,7
292,9,7
294,6,7
294,8,7
345,4,7
348,3,7
351,1,7
351,6,7
351,12,7
351,14,7
909,1,7
909,12,7
918,5,7
918,10,7
921,7,7
921,10,7
58,4,8
59,1,8
59,11,8
60,1,8
61,8,8
62,13,8
63,5,8
63,9,8
64,6,8
64,11,8
88,2,8
89,8,8
162,2,8
162,15,8
163,2,8
212,2,8
212,6,8
213,7,8
213,11,8
213,12,8
214,5,8
219,5,8
221,11,8
292,6,8
294,2,8
294,7,8
345,7,8
345,12,8
348,11,8
351,7,8
351,17,8
909,5,8
909,16,8
918,3,8
921,5,8
921,14,8
58,2,9
59,4,9
60,2,9
61,4,9
62,4,9
62,9,9
63,13,9
64,5,9
88,10,9
88,11,9
89,5,9
162,5,9
163,6,9
213,2,9
214,8,9
219,8,9
221,3,9
292,2,9
294,10,9
345,6,9
348,9,9
348,10,9
351,18,9
909,7,9
918,8,9
918,11,9
921,4,9
921,13,9
58,5,10
59,7,10
60,8,10
61,7,10
62,7,10
62,11,10
63,7,10
64,4,10
88,6,10
89,6,10
162,13,10
163,9,10
212,11,10
213,9,10
214,4,10
219,6,10
221,9,10
292,1,10
294,4,10
351,4,10
909,14,10
918,12,10
921,11,10
